staff_cd,last_name,first_name,last_name_pronunciation,first_name_pronunciation,gender,birthday,age,phone,post_office_cd
0,柳,昭一,ヤナギ,ショウイチ,男,1985/9/25,34,090-3602-0717,755
1,栗原,昌之,クリハラ,マサユキ,男,1985/8/29,34,090-2226-4253,1128
2,戸川,心愛,トガワ,ココア,女,1969/10/21,50,080-8104-8561,1072
3,大町,定吉,オオマチ,サダキチ,男,1967/1/14,53,090-8765-7484,1072
4,進藤,明夫,シンドウ,アキオ,男,1962/12/24,57,090-0682-3322,755
5,大塚,由良,オオツカ,ユラ,女,1991/11/10,28,090-8301-2168,1072
6,清田,重樹,セイタ,シゲキ,男,1983/12/14,36,090-9821-5562,1128
7,下山,瑞希,サガヤマ,ミズキ,女,1979/6/16,40,080-0121-0389,755
8,飯島,義行,イイジマ,ヨシユキ,男,1987/5/27,32,090-1443-7952,1072
9,柳原,真希,ヤナギハラ,マキ,女,1980/8/21,39,090-5095-7537,1072
10,高久,精一,タカク,セイイチ,男,1984/3/28,35,080-4697-7609,1072
11,生田,敏明,オイダ,トシアキ,男,1986/5/13,33,080-9944-7820,1072
12,常盤,長平,トキワ,チョウヘイ,男,1974/6/7,45,090-2516-5386,755
13,国分,市太郎,クニワケ,イチタロウ,男,1985/5/5,34,080-5944-7503,755
14,熊沢,真美,クマザワ,マミ,女,1992/1/4,28,080-6198-9891,1128
15,水本,研治,ミズモト,ケンジ,男,1975/9/15,44,080-0671-0303,1128
16,元木,香里,モトキ,カオリ,女,1990/11/28,29,080-7795-5259,1128
17,村岡,徳一,ムラオカ,トクイチ,男,1991/3/26,28,080-6163-9667,1128
18,檜山,優起,エノヤマ,ユウキ,男,1962/7/14,57,090-1966-3259,1072
19,安西,典大,アンザイ,ノリヒロ,男,1989/4/1,30,090-7762-3082,755
